event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold_before_promo,quantity_sold(after_promo),base_price_after_promo,revenue_before_promo,quantity_sold_after_promo,revenue_after_promo,isu,isu_pct,ir,ir_pct
78bc80,STVJD-0,CAMP_SAN_01,P07,300,BOGOF,22,85,150,6600,170,25500,148,6.73,18900,2.86
c0ecb5,STCHE-2,CAMP_SAN_01,P07,300,BOGOF,43,167,150,12900,334,50100,291,6.77,37200,2.88
7ef92f,STHYD-5,CAMP_SAN_01,P07,300,BOGOF,55,213,150,16500,426,63900,371,6.75,47400,2.87
276150,STCBE-3,CAMP_SAN_01,P07,300,BOGOF,33,128,150,9900,256,38400,223,6.76,28500,2.88
105788,STCHE-0,CAMP_SAN_01,P07,300,BOGOF,58,232,150,17400,464,69600,406,7,52200,3
3a3e96,STBLR-6,CAMP_DIW_01,P07,300,BOGOF,68,263,150,20400,526,78900,458,6.74,58500,2.87
987463,STBLR-0,CAMP_SAN_01,P07,300,BOGOF,45,185,150,13500,370,55500,325,7.22,42000,3.11
4e6a19,STHYD-3,CAMP_SAN_01,P07,300,BOGOF,45,121,150,13500,242,36300,197,4.38,22800,1.69
c6bf42,STCBE-3,CAMP_DIW_01,P07,300,BOGOF,52,173,150,15600,346,51900,294,5.65,36300,2.33
2c8137,STVSK-3,CAMP_SAN_01,P07,300,BOGOF,31,77,150,9300,154,23100,123,3.97,13800,1.48
c3bbcc,STBLR-2,CAMP_SAN_01,P07,300,BOGOF,31,122,150,9300,244,36600,213,6.87,27300,2.94
20d916,STCBE-1,CAMP_DIW_01,P07,300,BOGOF,57,188,150,17100,376,56400,319,5.6,39300,2.3
695cd9,STTRV-1,CAMP_SAN_01,P07,300,BOGOF,21,82,150,6300,164,24600,143,6.81,18300,2.9
9e2de4,STMLR-0,CAMP_SAN_01,P07,300,BOGOF,21,54,150,6300,108,16200,87,4.14,9900,1.57
e2a523,STHYD-5,CAMP_DIW_01,P07,300,BOGOF,59,195,150,17700,390,58500,331,5.61,40800,2.31
3a8b79,STMDU-0,CAMP_DIW_01,P07,300,BOGOF,49,199,150,14700,398,59700,349,7.12,45000,3.06
7d5e81,STCHE-5,CAMP_SAN_01,P07,300,BOGOF,43,167,150,12900,334,50100,291,6.77,37200,2.88
939435,STMLR-2,CAMP_SAN_01,P07,300,BOGOF,24,96,150,7200,192,28800,168,7,21600,3
660f7c,STMYS-1,CAMP_SAN_01,P07,300,BOGOF,43,186,150,12900,372,55800,329,7.65,42900,3.33
90b2fb,STCHE-6,CAMP_DIW_01,P07,300,BOGOF,59,201,150,17700,402,60300,343,5.81,42600,2.41
abffa2,STCHE-5,CAMP_DIW_01,P07,300,BOGOF,59,206,150,17700,412,61800,353,5.98,44100,2.49
11178a,STCBE-0,CAMP_DIW_01,P07,300,BOGOF,36,118,150,10800,236,35400,200,5.56,24600,2.28
62775f,STCHE-2,CAMP_DIW_01,P07,300,BOGOF,59,196,150,17700,392,58800,333,5.64,41100,2.32
